MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice,Street_Pave,Alley_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LandSlope_Mod,LandSlope_Sev,MasVnrType_BrkFace,MasVnrType_Stone,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,PoolQC_Fa,PoolQC_Gd,Fence_GdWo,Fence_MnPrv,Fence_MnWw,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC
60,191233.32829829317,65.0,8450,177369.49877805647,196200.38727832644,184468.41940953254,181311.71828673297,185924.04816297858,210207.53451219972,7,5,2003,2003,171476.40430315665,179840.24285865988,214779.58038757098,216070.71346458318,196.0,183898.69899894626,227015.4190232049,233482.38990880968,706,185133.43936837843,0,150,856,181920.61728043645,215068.50326484017,186903.34350873178,856,854,0,1710,1,0,2,1,3,1,183469.79688023945,0,180921.19589041095,202535.0966698494,548,187494.1124375275,187858.72426065805,0,61,0,0,0,0,0,2,2008,173064.5194911173,208500,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
20,191788.16806822573,80.0,9600,171965.47736748066,197950.74743150684,145641.60203723217,181316.743091842,185992.9014662353,176000.72501529913,6,8,1976,1976,171576.23386148512,179944.5975465493,149310.45999377334,149723.0465432989,0.0,184300.10210010127,150889.41111757548,162493.81361119208,978,184734.92789625283,0,284,1262,182264.44788099316,215635.49074942255,187158.02315297228,1262,0,0,1262,0,1,2,0,3,1,183712.11440409094,1,207391.62436361727,203330.3589886453,460,188012.89654544982,188271.9244019628,298,0,0,0,0,0,0,5,2007,172962.0638103184,181500,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
60,191233.32829829317,68.0,11250,177369.49877805647,196200.38727832644,184468.41940953254,181311.71828673297,185924.04816297858,210207.53451219972,7,5,2001,2002,171476.40430315665,179840.24285865988,214779.58038757098,216070.71346458318,162.0,183898.69899894626,227015.4190232049,233482.38990880968,486,185133.43936837843,0,434,920,181920.61728043645,215068.50326484017,186903.34350873178,920,866,0,1786,1,0,2,1,3,1,183469.79688023945,1,202824.92591013273,202535.0966698494,608,187494.1124375275,187858.72426065805,0,42,0,0,0,0,0,9,2008,173064.5194911173,223500,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
70,191083.31517272186,60.0,9550,181031.04892367907,209292.5705898798,183441.46344586575,179950.05742616134,184738.37905625423,206117.7423531619,7,5,1915,1970,171077.48219472994,178244.3257876119,146911.80436151786,171110.84102379237,0.0,182734.72932716325,134667.34319774128,162398.1922936049,216,183453.7229458783,0,540,756,180670.64605122097,159713.80467758104,185652.48040866305,961,756,0,1717,1,0,1,0,3,1,181937.7426632337,1,225647.35909030453,135332.02115168422,642,185802.54052726802,186460.00744518626,0,35,272,0,0,0,0,2,2006,171976.80481447003,140000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
60,190160.40928833946,84.0,14260,183133.41215008934,307844.6502070723,185224.48665901885,181773.3072608619,185825.3162237993,211194.49169099482,8,5,2000,2000,171773.6313619456,180238.89337859975,213616.7330833042,214423.47035201915,350.0,184302.54226817703,224333.79845953133,234934.10814502594,655,185324.4925261686,0,490,1145,182555.99476961396,213698.3425555805,187240.3652034425,1145,1053,0,2198,1,0,2,1,4,1,183856.24722527748,1,205888.6941845438,203116.58081421113,836,188180.9152155406,188289.4514542016,192,84,0,0,0,0,0,12,2008,174533.7870692423,250000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
50,191083.31517272186,85.0,14115,176089.5498929543,164164.85018944915,183441.46344586575,179950.05742616134,184738.37905625423,146778.6026390008,5,5,1993,1995,171077.48219472994,178244.3257876119,210288.65697578923,210743.62429001002,0.0,182734.72932716325,185267.66324200912,232169.58154413782,732,183453.7229458783,0,64,796,180670.64605122097,211490.56365834005,185652.48040866305,796,566,0,1362,1,0,1,1,1,1,181937.7426632337,0,180921.19589041095,201627.13136986303,480,185802.54052726802,186460.00744518626,40,30,0,320,0,0,700,10,2009,171976.80481447003,143000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
20,191233.32829829317,75.0,10084,177369.49877805647,220691.3994520548,184468.41940953254,181311.71828673297,185924.04816297858,175412.84046329584,8,5,2004,2005,171476.40430315665,179840.24285865988,214779.58038757098,216070.71346458318,186.0,183898.69899894626,227015.4190232049,233482.38990880968,1369,185133.43936837843,0,317,1686,181920.61728043645,215068.50326484017,186903.34350873178,1694,0,0,1694,1,0,2,0,3,1,183469.79688023945,1,229321.8827813421,202535.0966698494,636,187494.1124375275,187858.72426065805,255,57,0,0,0,0,0,8,2007,173064.5194911173,307000,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
60,191233.32829829317,0.0,10382,181397.07156459242,186994.3670427075,201940.844573235,181311.71828673297,185924.04816297858,210207.53451219972,7,6,1973,1973,171476.40430315665,179840.24285865988,163193.1254584924,166991.71740531828,240.0,183898.69899894626,149870.9774088257,164987.6965899155,859,156659.63314400267,32,216,1107,181920.61728043645,215068.50326484017,186903.34350873178,1107,983,0,2090,1,0,2,1,3,1,183469.79688023945,2,202824.92591013273,202535.0966698494,484,187494.1124375275,187858.72426065805,235,204,228,0,0,0,350,11,2009,173064.5194911173,200000,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
50,128366.33139328554,51.0,6120,176830.30997541273,131341.99959311,145900.2391780822,181316.743091842,185992.9014662353,145909.53254674532,7,5,1931,1950,171576.23386148512,179944.5975465493,188015.55018171654,157309.28099754127,0.0,184300.10210010127,134831.86991529854,170418.019223492,0,184734.92789625283,0,952,952,182264.44788099316,156124.44266144815,130416.03424657533,1022,752,0,1774,0,0,2,0,2,2,158001.93621575343,2,207391.62436361727,134212.3418029165,468,133131.93664383562,188271.9244019628,90,0,205,0,0,0,0,4,2008,172962.0638103184,129900,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
190,191233.32829829317,50.0,7420,181397.07156459242,135865.79167743603,144832.2391780822,173110.17808219176,148047.41055600322,144490.59794520546,5,6,1939,1950,171476.40430315665,179840.24285865988,150367.16645911167,150907.76662644616,0.0,183898.69899894626,136828.07167123287,233482.38990880968,851,185133.43936837843,0,140,991,181920.61728043645,215068.50326484017,186903.34350873178,1077,0,0,1077,1,0,1,0,2,2,183469.79688023945,2,202824.92591013273,202535.0966698494,205,200560.0932811481,187858.72426065805,0,4,0,0,0,0,0,1,2008,173064.5194911173,118000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
